ResponseId,Q,A.Code,B.Code,Winner,Loser
R_22G1pn30ere3rAm,1,Melon,Milk chocolate,Melon,Milk chocolate
R_2D5hdzKSoMrJ9ik,2,Prawns,Croissant,Croissant,Prawns
R_24IAat95tz832LX,3,Nachos,Steak,Steak,Nachos
R_3CJEOmprJg9Qngp,3,Nachos,Steak,Steak,Nachos
R_1Cj8aNlBXSWK7X8,3,Nachos,Steak,Steak,Nachos
R_1eXhwYOBWSP0WwH,4,Boiled egg,Brownies,Brownies,Boiled egg
R_1RKRv5qLSzXtwHv,4,Boiled egg,Brownies,Brownies,Boiled egg
R_1RKRv5qLSzXtwHv,5,Baked potato,Kidney beans,Baked potato,Kidney beans
R_1Cj8aNlBXSWK7X8,6,Marmite/vegemite,Strawberries,Strawberries,Marmite/vegemite
R_2rwFg9Pb5PAMNsw,6,Marmite/vegemite,Strawberries,Marmite/vegemite,Strawberries
R_2D5hdzKSoMrJ9ik,6,Marmite/vegemite,Strawberries,Strawberries,Marmite/vegemite
R_1Cj8aNlBXSWK7X8,7,Bacon,Honey,Bacon,Honey
R_tEP3YRZbE6jUXdL,7,Bacon,Honey,Honey,Bacon
R_6WHkcTAnTu51lOV,7,Bacon,Honey,Bacon,Honey
R_3CJEOmprJg9Qngp,8,Chicken nugges,Pancakes,Chicken nugges,Pancakes
R_1RKRv5qLSzXtwHv,8,Chicken nugges,Pancakes,Chicken nugges,Pancakes
R_6WHkcTAnTu51lOV,10,Cabbage,Smoked salmon,Smoked salmon,Cabbage
R_1ogPKzOXNF7qE4F,10,Cabbage,Smoked salmon,Smoked salmon,Cabbage
R_2sbBHCSUsaf4TuQ,11,Gingerbread,Soup,Soup,Gingerbread
R_1ogPKzOXNF7qE4F,11,Gingerbread,Soup,Gingerbread,Soup
R_11ipYPz7zgMPsY6,12,Nachos,Rice,Rice,Nachos
R_tEP3YRZbE6jUXdL,12,Nachos,Rice,Nachos,Rice
R_1Cj8aNlBXSWK7X8,12,Nachos,Rice,Nachos,Rice
R_2sbBHCSUsaf4TuQ,13,Dates,Cod,Cod,Dates
R_1ogPKzOXNF7qE4F,14,Scrambled egg,Crisps/chips,Crisps/chips,Scrambled egg
R_1RKRv5qLSzXtwHv,14,Scrambled egg,Crisps/chips,Crisps/chips,Scrambled egg
R_Xn5bd0RUvf9hWj7,15,Prawns,Melon,Melon,Prawns
R_11ipYPz7zgMPsY6,17,Poached egg,Pulled pork,Pulled pork,Poached egg
R_24IAat95tz832LX,17,Poached egg,Pulled pork,Pulled pork,Poached egg
R_3EGCQt2M8RV3Rjm,17,Poached egg,Pulled pork,Poached egg,Pulled pork
R_Xn5bd0RUvf9hWj7,17,Poached egg,Pulled pork,Pulled pork,Poached egg
R_1eXhwYOBWSP0WwH,18,Mango,Banana,Mango,Banana
R_11ipYPz7zgMPsY6,18,Mango,Banana,Banana,Mango
R_1ogPKzOXNF7qE4F,19,Victoria sponge cake,Brocolli,Victoria sponge cake,Brocolli
R_tEP3YRZbE6jUXdL,19,Victoria sponge cake,Brocolli,Victoria sponge cake,Brocolli
